Q10,Label
Tropical,Rio de Janeiro
"Habibi, come to blank",Dubai
Where dreams are made.,New York City
"""C'est la vie""",Paris
The City of Gold.,Dubai
World Hub,Dubai
Ici c'estÂ blank,Paris
"""""concrete jungles where dreams are made of""",New York City
"""Nothing good happens after 2 a.m.""Â â€”Ted Mosby",New York City
It is a great city.,Rio de Janeiro
"""I <3 NY""",New York City
Beautiful,Paris
Good,Rio de Janeiro
welcome to newyork,New York City
zoo,Rio de Janeiro
It is the desert miracle.,Dubai
We'll always have Paris.,Paris
safe place,Dubai
The Big Apple,New York City
"breathtaking landscape, its laid-back beach culture and its annual carnival",Rio de Janeiro
"Wall Street, Manhattan, banks, traffic, economy, cost of living, Mafia, crime......",New York City
good in soccer,Rio de Janeiro
the city of dreams,Rio de Janeiro
"Time square, technology, economic, Â music",New York City
City of love,Paris
"""Little slice of heaven""",Dubai
"""Rio de Janeiro, a city of love and adventure.""",Rio de Janeiro
A beautiful City Skyline,Dubai
The most romantic city in the world,Paris
oui oui baguetteÂ ,Paris
Jesus Christ,Rio de Janeiro
France,Paris
"""In Brazil every kid starts playing street football very early. It's in our blood. As a professional I started at Sao Cristovao in the city of Rio de Janeiro. Of course I also played in the beach soccer league, barefoot.""",Rio de Janeiro
So nice they named it twice,New York City
The food here is expensive. This is where the rich people gather.,Dubai
The rich get richer the poor get poorer.,Dubai
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
New York is a city that never sleep.,New York City
Life is either a daring adventure or nothing.,Rio de Janeiro
Somewhat outdated but still very influential and classic,New York City
Samba soul in the heart of Rio de Janeiro.,Rio de Janeiro
Skyscraper,Dubai
The tallest building in the world.Â ,Dubai
'Concrete jungles where dream are made of',New York City
let them eat cake,Paris
The big apple.,New York City
Rats,New York City
The sky is the limit.,Dubai
The city of love!,Paris
eiffel tower,Paris
City of light.,Paris
"The city that never sleeps, where dreams are made and the skyline tells a story of endless possibilities.",New York City
The city of love,Paris
The IntouchablesÂ ,Paris
"""habibi, come to dubai""",Dubai
love,Paris
The city that never sleeps,New York City
teenage mutant ninja turtles,New York City
Jesus,Rio de Janeiro
"Culture, people, love, life",Rio de Janeiro
city of love,Paris
"""A playground for the rich.""",Dubai
To err is human. To loaf is Parisian,Paris
dubai is where the oil is,Dubai
"""best footballers and martial artists""",Rio de Janeiro
"We in the U.A.E. have no such word as 'impossible'; it does not exist in our lexicon. Such a word is used by the lazy and the weak, who fear challenges and progress.",Dubai
"""I grew up on the crime side, the New York Times side, Staying alive was no jive"" -Wu-Tang Clan, C.R.E.A.M.",New York City
"â€œIn New York, concrete jungle where dreams are made of, thereâ€™s nothing you canâ€™t do.â€",New York City
The richest city,Dubai
"""Ratatouille""",Paris
Dubai will never settle anything for less than the first place.,Dubai
Spread love everywhere you go.,Paris
Not affordable to live there.,New York City
Streets are filled with music and joy,Rio de Janeiro
To turn $100 into $110 is work.Â To turn 100 million into $110 million is inevitable.,New York City
Life of the party,Rio de Janeiro
To be extravagant you need money. True. But you do not need your own money.,New York City
"The concrete jungle, where dreams are made of.",New York City
The city of love.,Paris
The city of love,Paris
We are not what we know but what we are willing to learn.,New York City
the sky is the limit,New York City
"""I'm in New York

Concrete jungles where dreams are made of

There's nothing you can't do...""",New York City
"â€œMoney can't buy happiness. Habibi, come to Dubai.â€",Dubai
tourist center,Dubai
"When I'm in New York, it feels like I'm in a movie",New York City
Um Mundo Novo,Rio de Janeiro
"The sleepless city, the melting pot of dreams.",New York City
I'm on top of the world,Dubai
nothing,Rio de Janeiro
"""No day shall erase you from the memory of time""",New York City
"When it comes to wealth, Dubai doesn't just talk the talk; it builds the skyline",Dubai
"Carnival, art, music and beach. Also a Disney movie.",Rio de Janeiro
"in new york, concrete jungle where dreams are made of",New York City
City of RomanceÂ ,Paris
Vibrant and full of energy,Rio de Janeiro
Croissant! Baguette!,Paris
a parody of the 21st century,Dubai
A city of love,Paris
Excellent facade but disgusting under the surface,Dubai
Football,Rio de Janeiro
"breads, croissant, baguette, french oinion soup, ratatouille, souffle, foie gras, escargot",Paris
stocks,New York City
Ratatouille,Paris
City of football,Rio de Janeiro
Statue of Liberty,New York City
Every girl needs Paris.,Paris
a city of luxury,Dubai
The city never sleeps,New York City
city of love,Paris
"Wealth, exploitation",Dubai
"""I hope they'll understand the fact I've chosen toÂ stayÂ in my country. The reality is I'm French. As a Frenchman, I want toÂ stayÂ here...""",Paris
"""Enjoy your life to the fullest""",Rio de Janeiro
